"competencia","data","ano","entidade","entidade_nome","bloco","aprovada","distribuida","ocupada","vago","nunca_distribuido","vago_pos_distrib","taxa_vacancia"
201601,2016-01-01,2016,40604,"INSTITUTO BRASILEIRO DE TURISMO","40604",311,306,135,176,5,171,56.59
201601,2016-01-01,2016,40701,"INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS","40701",6497,6497,3771,2726,0,2726,41.96
201601,2016-01-01,2016,40801,"GOVERNO DO EX-TERRITORIO DO AMAPA","40801",5627,5626,5488,139,1,138,2.47
201601,2016-01-01,2016,40802,"GOVERNO DO EX-TERRITORIO DO ACRE","40802",1,1,0,1,0,1,100
201601,2016-01-01,2016,40803,"GOVERNO DO EX-TERRITORIO DE RONDONIA","40803",1922,1922,1815,107,0,107,5.57
201601,2016-01-01,2016,40804,"GOVERNO DO EX-TERRITORIO DE RORAIMA","40804",4517,4517,4398,119,0,119,2.63
201601,2016-01-01,2016,41231,"AGENCIA NACIONAL DE TELECOMUNICACOES","41231",1852,1649,1465,387,203,184,20.9
201601,2016-01-01,2016,42201,"INSTITUTO NAC. DE COLONIZ E REF AGRARIA","42201",11703,9152,4888,6815,2551,4264,58.23
201601,2016-01-01,2016,42204,"DEPTO. NACIONAL DE OBRAS CONTRA AS SECAS","42204",2900,2899,1507,1393,1,1392,48.03
201601,2016-01-01,2016,42207,"INSTITUTO BRASILEIRO DE MUSEUS","42207",844,692,555,289,152,137,34.24
201601,2016-01-01,2016,44205,"AGENCIA NACIONAL DE AGUAS","44205",399,368,298,101,31,70,25.31
201601,2016-01-01,2016,44206,"INSTITUTO DE PESQ. JARDIM BOTANICO DO RJ","44206",235,234,170,65,1,64,27.66
201601,2016-01-01,2016,44207,"INSTITUTO CHICO MENDES CONSERV.BIODIVER.","44207",2910,2265,1875,1035,645,390,35.57
201601,2016-01-01,2016,45203,"COMISSAO DE VALORES MOBILIARIOS","45203",607,592,507,100,15,85,16.47
201601,2016-01-01,2016,45205,"FUND. INST. BRASIL. GEOG. E ESTATISTICA","45205",11530,11530,5738,5792,0,5792,50.23
201601,2016-01-01,2016,45206,"INSTITUTO DE PESQUISA ECONOMICA APLICADA","45206",1019,1019,434,585,0,585,57.41
201601,2016-01-01,2016,45208,"SUPERINTENDENCIA DE SEGUROS PRIVADOS","45208",828,535,383,445,293,152,53.74
201601,2016-01-01,2016,49000,"MINISTERIO DA INFRAESTRUTURA","49000",1234,1178,644,590,56,534,47.81
201601,2016-01-01,2016,52201,"AGENCIA NACIONAL DE AVIACAO CIVIL","52201",1893,1479,1281,612,414,198,32.33
201601,2016-01-01,2016,53202,"SUPERINTENDENCIA DO DESENV. DA AMAZONIA","53202",224,210,201,23,14,9,10.27
201601,2016-01-01,2016,53203,"SUPERINTENDENCIA DO DESENV. DO NORDESTE","53203",253,229,209,44,24,20,17.39
201601,2016-01-01,2016,53297,"SUP.DE DESENVOLVIMENTO DO CENTRO OESTE","53297",100,100,88,12,0,12,12
201601,2016-01-01,2016,54000,"MINISTERIO DO TURISMO","54000",313,293,204,109,20,89,34.82
201601,2016-01-01,2016,55000,"MINISTERIO DA CIDADANIA","55000",908,638,340,568,270,298,62.56
201601,2016-01-01,2016,57201,"FUND.JORGE DUPRAT FIG. SEG. MED.TRABALHO","57201",513,379,286,227,134,93,44.25
201601,2016-01-01,2016,57202,"INSTITUTO NACIONAL DE SEGURO SOCIAL","57202",56462,56043,37439,19023,419,18604,33.69
201601,2016-01-01,2016,70000,"COMANDO DA MARINHA","70000",12416,11440,5139,7277,976,6301,58.61
201601,2016-01-01,2016,98000,"ORGAO CENTRAL DO SIPEC","98000",4590,0,0,4590,4590,0,100
201602,2016-02-01,2016,13100,"Min. do Desenv. Agrário e Agric. Familiar","42000",616,246,179,437,370,67,70.94
201602,2016-02-01,2016,13300,"Ministério da Agricultura e Pecuária","13000",14433,13916,9645,4788,517,4271,33.17
201602,2016-02-01,2016,15000,"MINISTERIO DA EDUCACAO","15000",46457,2336,1012,45445,44121,1324,97.82
201602,2016-02-01,2016,16000,"COMANDO DO EXERCITO","16000",12181,12179,5971,6210,2,6208,50.98
201602,2016-02-01,2016,16100,"FUNDACAO OSORIO","16100",130,130,66,64,0,64,49.23
201602,2016-02-01,2016,17000,"MINISTERIO DA ECONOMIA","economico",57178,55085,31717,25461,2093,23368,44.53
201602,2016-02-01,2016,20000,"MINIST. DA JUSTICA E SEGURANCA PUBLICA","20000",3893,3074,2223,1670,819,851,42.9
201602,2016-02-01,2016,20101,"PRESIDENCIA DA REPUBLICA","20101",492,473,345,147,19,128,29.88
201602,2016-02-01,2016,20102,"VICE-PRESIDENCIA DA REPUBLICA","20102",3,3,0,3,0,3,100
201602,2016-02-01,2016,20114,"AGENCIA BRASILEIRA DE INTELIGENCIA","20114",128,107,61,67,21,46,52.34
201602,2016-02-01,2016,20115,"DEPARTAMENTO DE POLICIA FEDERAL","20115",17945,17546,14081,3864,399,3465,21.53
201602,2016-02-01,2016,20224,"AGENCIA NACIONAL DO CINEMA","20224",363,363,349,14,0,14,3.86
201602,2016-02-01,2016,21000,"COMANDO DA AERONAUTICA","21000",10693,9729,5311,5382,964,4418,50.33
201602,2016-02-01,2016,21201,"CAIXA DE FINANCIAMENTO IMOB.AERONAUTICA","21201",6,6,1,5,0,5,83.33
201602,2016-02-01,2016,21300,"AGENCIA ESPACIAL BRASILEIRA","21300",255,255,7,248,0,248,97.25
201602,2016-02-01,2016,24203,"FUNDACAO NACIONAL DE ARTES","24203",526,526,264,262,0,262,49.81
201602,2016-02-01,2016,24204,"INSTITUTO DO PATR.HIST.E ART. NACIONAL","24204",1269,1268,757,512,1,511,40.35
201602,2016-02-01,2016,24205,"FUNDACAO BIBLIOTECA NACIONAL","24205",544,544,362,182,0,182,33.46
201602,2016-02-01,2016,25000,"MINISTERIO DA SAUDE","25000",110927,105576,65423,45504,5351,40153,41.02
201602,2016-02-01,2016,26104,"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS","26104",508,507,441,67,1,66,13.19
201602,2016-02-01,2016,26105,"INSTITUTO BENJAMIN CONSTANT","26105",284,273,250,34,11,23,11.97
201602,2016-02-01,2016,26106,"FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO","26106",1127,1127,590,537,0,537,47.65
201602,2016-02-01,2016,26107,"INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS","26107",619,534,421,198,85,113,31.99
201602,2016-02-01,2016,26201,"COLEGIO PEDRO II","26201",2247,2228,2181,66,19,47,2.94
201602,2016-02-01,2016,26230,"FUND.UNIV.FED.DO VALE DO SAO FRANCISCO","26230",974,867,851,123,107,16,12.63
201602,2016-02-01,2016,26231,"UNIVERSIDADE FEDERAL DE ALAGOAS","26231",3544,3417,3297,247,127,120,6.97
201602,2016-02-01,2016,26232,"UNIVERSIDADE FEDERAL DA BAHIA","26232",6026,6004,5546,480,22,458,7.97
